trial_no,trial_id,melody_name,instrument,cue,vib,probe_top,probe_bottom
1,A1_1,Mmin2crossing1,Vln-Vln,top,cued,G4,Gsharp4
2,A1_2,Mmin2crossing1,Tpt-Tpt,top,cued,G4,Gsharp4
3,A1_3,Mmin2crossing1,Vln-Tpt,top,cued,G4,Gsharp4
4,A1_4,Mmin2crossing1,Tpt-Vln,top,cued,G4,Gsharp4
5,A1_5,Mmin2crossing1,Vln-Vln,bottom,cued,G4,Gsharp4
6,A1_6,Mmin2crossing1,Tpt-Tpt,bottom,cued,G4,Gsharp4
7,A1_7,Mmin2crossing1,Vln-Tpt,bottom,cued,G4,Gsharp4
8,A1_8,Mmin2crossing1,Tpt-Vln,bottom,cued,G4,Gsharp4
9,A1_9,Mmin2crossing1,Vln-Vln,top,uncued,G4,Gsharp4
10,A1_10,Mmin2crossing1,Tpt-Tpt,top,uncued,G4,Gsharp4
11,A1_11,Mmin2crossing1,Vln-Tpt,top,uncued,G4,Gsharp4
12,A1_12,Mmin2crossing1,Tpt-Vln,top,uncued,G4,Gsharp4
13,A1_13,Mmin2crossing1,Vln-Vln,bottom,uncued,G4,Gsharp4
14,A1_14,Mmin2crossing1,Tpt-Tpt,bottom,uncued,G4,Gsharp4
15,A1_15,Mmin2crossing1,Vln-Tpt,bottom,uncued,G4,Gsharp4
16,A1_16,Mmin2crossing1,Tpt-Vln,bottom,uncued,G4,Gsharp4
17,A1_17,Mmin2crossing1,Vln-Vln,top,none,G4,Gsharp4
18,A1_18,Mmin2crossing1,Tpt-Tpt,top,none,G4,Gsharp4
19,A1_19,Mmin2crossing1,Vln-Tpt,top,none,G4,Gsharp4
20,A1_20,Mmin2crossing1,Tpt-Vln,top,none,G4,Gsharp4
21,A1_21,Mmin2crossing1,Vln-Vln,bottom,none,G4,Gsharp4
22,A1_22,Mmin2crossing1,Tpt-Tpt,bottom,none,G4,Gsharp4
23,A1_23,Mmin2crossing1,Vln-Tpt,bottom,none,G4,Gsharp4
24,A1_24,Mmin2crossing1,Tpt-Vln,bottom,none,G4,Gsharp4
25,A2_1,Mmin3crossing1,Vln-Vln,top,cued,Gsharp4,F4
26,A2_2,Mmin3crossing1,Tpt-Tpt,top,cued,Gsharp4,F4
27,A2_3,Mmin3crossing1,Vln-Tpt,top,cued,Gsharp4,F4
28,A2_4,Mmin3crossing1,Tpt-Vln,top,cued,Gsharp4,F4
29,A2_5,Mmin3crossing1,Vln-Vln,bottom,cued,Gsharp4,F4
30,A2_6,Mmin3crossing1,Tpt-Tpt,bottom,cued,Gsharp4,F4
31,A2_7,Mmin3crossing1,Vln-Tpt,bottom,cued,Gsharp4,F4
32,A2_8,Mmin3crossing1,Tpt-Vln,bottom,cued,Gsharp4,F4
33,A2_9,Mmin3crossing1,Vln-Vln,top,uncued,Gsharp4,F4
34,A2_10,Mmin3crossing1,Tpt-Tpt,top,uncued,Gsharp4,F4
